"PSME",25.0,0.3082
"PSME",25.1,0.31111
"PSME",25.2,0.31403
"PSME",25.3,0.31697
"PSME",25.4,0.31992
"PSME",25.5,0.32289
"PSME",25.6,0.32587
"PSME",25.7,0.32887
"PSME",25.8,0.33189
"PSME",25.9,0.33493
"PSME",26.0,0.33798
"PSME",26.1,0.34104
"PSME",26.2,0.34413
"PSME",26.3,0.34723
"PSME",26.4,0.35034
"PSME",26.5,0.35348
"PSME",26.6,0.35662
"PSME",26.7,0.35979
"PSME",26.8,0.36297
"PSME",26.9,0.36617
"PSME",27.0,0.36939
"PSME",27.1,0.37262
"PSME",27.2,0.37587
"PSME",27.3,0.37913
"PSME",27.4,0.38241
"PSME",27.5,0.38571
"PSME",27.6,0.38903
"PSME",27.7,0.39236
"PSME",27.8,0.39571
"PSME",27.9,0.39907
"PSME",28.0,0.40246
"PSME",28.1,0.40586
"PSME",28.2,0.40927
"PSME",28.3,0.41271
"PSME",28.4,0.41616
"PSME",28.5,0.41962
"PSME",28.6,0.42311
"PSME",28.7,0.42661
"PSME",28.8,0.43013
"PSME",28.9,0.43366
"PSME",29.0,0.43722
"PSME",29.1,0.44079
"PSME",29.2,0.44437
"PSME",29.3,0.44798
"PSME",29.4,0.4516
"PSME",29.5,0.45524
"PSME",29.6,0.45889
"PSME",29.7,0.46256
"PSME",29.8,0.46625
"PSME",29.9,0.46996
"PSME",30.0,0.47369
"PSME",30.1,0.47743
"PSME",30.2,0.48119
"PSME",30.3,0.48497
"PSME",30.4,0.48876
"PSME",30.5,0.49257
"PSME",30.6,0.4964
"PSME",30.7,0.50025
"PSME",30.8,0.50412
"PSME",30.9,0.508
"PSME",31.0,0.5119
"PSME",31.1,0.51582
"PSME",31.2,0.51975
"PSME",31.3,0.5237
"PSME",31.4,0.52767
"PSME",31.5,0.53166
"PSME",31.6,0.53567
"PSME",31.7,0.53969
"PSME",31.8,0.54374
"PSME",31.9,0.54779
"PSME",32.0,0.55187
"PSME",32.1,0.55597
"PSME",32.2,0.56008
"PSME",32.3,0.56421
"PSME",32.4,0.56836
"PSME",32.5,0.57253
"PSME",32.6,0.57671
"PSME",32.7,0.58092
"PSME",32.8,0.58514
"PSME",32.9,0.58938
"PSME",33.0,0.59363
"PSME",33.1,0.59791
"PSME",33.2,0.6022
"PSME",33.3,0.60651
"PSME",33.4,0.61084
"PSME",33.5,0.61519
"PSME",33.6,0.61956
"PSME",33.7,0.62394
"PSME",33.8,0.62835
"PSME",33.9,0.63277
"PSME",34.0,0.63721
"PSME",34.1,0.64166
"PSME",34.2,0.64614
"PSME",34.3,0.65063
"PSME",34.4,0.65515
"PSME",34.5,0.65968
"PSME",34.6,0.66423
"PSME",34.7,0.6688
"PSME",34.8,0.67338
"PSME",34.9,0.67799
"PSME",35.0,0.68261
"PSME",35.1,0.68726
"PSME",35.2,0.69192
"PSME",35.3,0.6966
"PSME",35.4,0.7013
"PSME",35.5,0.70601
"PSME",35.6,0.71075
"PSME",35.7,0.7155
"PSME",35.8,0.72028
"PSME",35.9,0.72507
"PSME",36.0,0.72988
"PSME",36.1,0.73471
"PSME",36.2,0.73956
"PSME",36.3,0.74442
"PSME",36.4,0.74931
"PSME",36.5,0.75421
"PSME",36.6,0.75914
"PSME",36.7,0.76408
"PSME",36.8,0.76904
"PSME",36.9,0.77402
"PSME",37.0,0.77902
"PSME",37.1,0.78404
"PSME",37.2,0.78908
"PSME",37.3,0.79414
"PSME",37.4,0.79921
"PSME",37.5,0.80431
"PSME",37.6,0.80942
"PSME",37.7,0.81456
"PSME",37.8,0.81971
"PSME",37.9,0.82488
"PSME",38.0,0.83007
"PSME",38.1,0.83528
"PSME",38.2,0.84051
"PSME",38.3,0.84576
"PSME",38.4,0.85103
"PSME",38.5,0.85632
"PSME",38.6,0.86162
"PSME",38.7,0.86695
"PSME",38.8,0.8723
"PSME",38.9,0.87766
"PSME",39.0,0.88305
"PSME",39.1,0.88845
"PSME",39.2,0.89387
"PSME",39.3,0.89932
"PSME",39.4,0.90478
"PSME",39.5,0.91026
"PSME",39.6,0.91576
"PSME",39.7,0.92128
"PSME",39.8,0.92682
"PSME",39.9,0.93239
"PSME",40.0,0.93797
"PSME",40.1,0.94357
"PSME",40.2,0.94919
"PSME",40.3,0.95482
"PSME",40.4,0.96048
"PSME",40.5,0.96616
"PSME",40.6,0.97186
"PSME",40.7,0.97758
"PSME",40.8,0.98332
"PSME",40.9,0.98908
"PSME",41.0,0.99485
"PSME",41.1,1.00065
"PSME",41.2,1.00647
"PSME",41.3,1.01231
"PSME",41.4,1.01816
"PSME",41.5,1.02404
"PSME",41.6,1.02994
"PSME",41.7,1.03586
"PSME",41.8,1.0418
"PSME",41.9,1.04775
"PSME",42.0,1.05373
"PSME",42.1,1.05973
"PSME",42.2,1.06575
"PSME",42.3,1.07179
"PSME",42.4,1.07784
"PSME",42.5,1.08392
"PSME",42.6,1.09002
"PSME",42.7,1.09614
"PSME",42.8,1.10228
"PSME",42.9,1.10844
"PSME",43.0,1.11462
"PSME",43.1,1.12082
"PSME",43.2,1.12704
"PSME",43.3,1.13328
"PSME",43.4,1.13954
"PSME",43.5,1.14582
"PSME",43.6,1.15212
"PSME",43.7,1.15845
"PSME",43.8,1.16479
"PSME",43.9,1.17115
"PSME",44.0,1.17754
"PSME",44.1,1.18394
"PSME",44.2,1.19037
"PSME",44.3,1.19681
"PSME",44.4,1.20328
"PSME",44.5,1.20976
